,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,np_classifier_class
56,300.09977361200004,5,2,3.0111000000000008,75.99000000000001,0.11764705882352941,2,5,5,Chalcones
57,262.120509056,4,0,2.1328000000000005,60.440000000000005,0.5333333333333333,2,4,4,Germacrane sesquiterpenoids
58,322.084123548,5,0,4.223400000000003,61.81,0.10526315789473684,4,5,3,Flavones
59,250.156894564,3,0,2.8896000000000015,43.370000000000005,0.7333333333333333,2,3,3,Germacrane sesquiterpenoids
60,394.16276779199995,8,3,-0.003800000000000081,125.82000000000001,0.7,4,8,2,Guaiane sesquiterpenoids
61,446.0849113959999,10,6,0.14219999999999955,187.12,0.23809523809523808,4,11,4,Flavones
62,264.13615912,4,2,1.1821999999999997,66.76,0.6666666666666666,3,4,0,Guaiane sesquiterpenoids
63,244.109944372,3,0,3.3103000000000016,39.44,0.26666666666666666,2,3,3,Simple coumarins
64,420.1572884879999,6,3,5.269700000000006,100.13,0.24,4,6,3,Flavones
65,290.11542367600003,5,0,2.5778000000000008,65.74000000000001,0.375,2,5,5,Simple coumarins
66,422.19406791999995,8,1,2.034,116.20000000000002,0.6363636363636364,2,8,4,Germacrane sesquiterpenoids
67,338.15180918399994,4,2,4.466100000000004,66.76,0.19047619047619047,2,4,6,Chalcones
68,380.19875937599994,4,0,5.149600000000005,56.510000000000005,0.5,4,4,3,Simple coumarins
69,230.130679816,2,0,3.0166000000000013,26.3,0.5333333333333333,3,2,0,Guaiane sesquiterpenoids
70,248.1412445,3,0,2.4518000000000004,38.83,0.8,4,3,0,Guaiane sesquiterpenoids
71,250.156894564,3,1,2.291300000000001,46.53,0.8,3,3,0,Guaiane sesquiterpenoids
72,376.152203108,7,1,1.0417999999999996,97.89,0.7,5,7,2,Guaiane sesquiterpenoids
73,418.12638228399993,9,2,0.5493999999999994,128.59,0.5714285714285714,5,9,2,Germacrane sesquiterpenoids
74,382.21440943999994,4,0,5.492000000000005,48.67,0.5416666666666666,4,4,6,Simple coumarins
75,292.07355886399995,4,0,4.214800000000003,52.58,0.05555555555555555,4,4,2,Flavones
76,476.1835032359999,7,2,5.178400000000006,114.03999999999999,0.25,3,7,9,Simple coumarins
77,300.099773612,5,2,3.0111000000000017,75.99000000000001,0.11764705882352941,2,5,5,Chalcones
78,376.152203108,7,1,1.0417999999999996,97.89,0.7,5,7,2,Guaiane sesquiterpenoids
79,232.14632988,2,0,3.5508000000000024,26.3,0.5333333333333333,2,2,0,Germacrane sesquiterpenoids
80,376.152203108,7,1,1.0417999999999996,97.89,0.7,5,7,2,Guaiane sesquiterpenoids
81,400.22497412399997,5,2,4.136200000000004,79.9,0.625,4,5,3,Simple coumarins
82,270.05282342000004,5,3,2.576800000000001,90.9,0.0,3,5,1,Flavones
83,274.120509056,4,0,3.4794000000000027,48.67,0.3125,2,4,4,Simple coumarins
84,382.21440943999994,4,1,5.251600000000005,59.67,0.4583333333333333,3,4,6,Simple coumarins
85,346.14163842399995,6,2,1.0575999999999997,93.06,0.47368421052631576,3,6,3,Guaiane sesquiterpenoids
86,506.3032244439999,5,0,6.130200000000007,69.67,0.71875,6,5,4,Guaiane sesquiterpenoids
87,420.1936739959999,5,1,5.647600000000006,72.83000000000001,0.3076923076923077,3,5,6,Chalcones
88,248.068473484,5,0,1.5515999999999999,65.74000000000001,0.23076923076923078,2,5,4,Simple coumarins
89,264.13615912,4,0,1.9732,51.36,0.8,4,4,0,Germacrane sesquiterpenoids
90,376.152203108,7,1,1.0417999999999996,97.89,0.7,5,7,2,Guaiane sesquiterpenoids
91,378.167853172,7,1,1.6846999999999996,99.13000000000002,0.65,3,7,3,Germacrane sesquiterpenoids
92,496.2824889999999,6,1,4.042800000000003,82.06000000000002,0.8666666666666667,8,6,0,Guaiane sesquiterpenoids
93,246.125594436,3,0,2.419600000000001,43.370000000000005,0.6,3,3,0,Guaiane sesquiterpenoids
94,438.2406241879999,5,0,5.9023000000000065,65.74000000000001,0.5555555555555556,4,5,4,Simple coumarins
95,376.2249741239999,5,0,4.157700000000004,69.67000000000002,0.6818181818181818,2,5,4,Guaiane sesquiterpenoids
96,364.188588616,6,1,2.3483,89.9,0.65,2,6,3,Germacrane sesquiterpenoids
97,378.167853172,7,1,1.9862000000000002,91.29000000000002,0.7,4,7,2,Germacrane sesquiterpenoids
98,448.1005614599999,11,7,-0.24450000000000022,190.27999999999997,0.2857142857142857,4,11,4,Flavones
99,284.068473484,5,2,2.879800000000001,79.9,0.0625,3,5,2,Flavones
100,354.146723804,5,3,4.216800000000003,86.99,0.19047619047619047,2,5,6,Chalcones
101,462.07982601599986,11,7,-0.15220000000000045,207.35,0.23809523809523808,4,12,4,Flavones
102,340.1310737399999,5,0,4.044100000000004,65.74000000000001,0.3,3,5,5,Simple coumarins
103,278.0579088,4,1,3.9118000000000017,63.58,0.0,4,4,1,Flavones
104,360.12090298,7,0,2.9136000000000015,92.03999999999999,0.3157894736842105,2,7,6,Simple coumarins
105,418.12638228399993,9,2,0.5493999999999994,128.59,0.5714285714285714,5,9,2,Germacrane sesquiterpenoids
106,192.042258736,4,1,1.5072,59.67,0.1,2,4,1,Simple coumarins
107,284.068473484,5,2,2.8798000000000012,79.9,0.0625,3,5,2,Flavones
108,324.099773612,5,1,4.051700000000002,68.9,0.10526315789473684,3,5,5,Chalcones
109,274.084123548,5,0,2.4124000000000008,65.74000000000001,0.2,2,5,4,Simple coumarins
110,288.099773612,5,0,2.4979000000000005,65.74000000000001,0.25,2,5,5,Simple coumarins
111,354.1467238039999,5,3,4.171700000000006,86.99000000000001,0.19047619047619047,2,5,6,Chalcones
112,326.115423676,5,1,4.107500000000003,68.9,0.21052631578947367,3,5,6,Chalcones
